,sub_id,age,condition,1.11Hz,1.67Hz,3.3Hz
0,me2_119_7m,7mo,random,4.181567438286407e-26,3.234302897780482e-26,7.230953527511743e-27
1,me2_220_7m,7mo,random,1.0784981788741286e-25,7.087334775905708e-26,3.8502889618561057e-26
2,me2_203_7m,7mo,random,8.919333208726753e-26,3.7181083181632e-26,1.8654501943551e-26
3,me2_207_7m,7mo,random,3.8070932812148886e-26,3.9858342857491663e-26,1.795813281068379e-26
4,me2_205_7m,7mo,random,9.777991789969309e-26,7.0132353596453e-26,2.2189258664588237e-26
5,me2_215_7m,7mo,random,1.1039335971960917e-25,7.603516822943302e-26,2.4498337433041563e-26
6,me2_217_7m,7mo,random,1.192410365734949e-25,7.625965283996823e-26,1.9716339870495795e-26
7,me2_104_7m,7mo,random,4.967415099271385e-26,1.8251578613878222e-26,7.976254187589122e-27
8,me2_120_7m,7mo,random,7.503088681912645e-26,5.518981624426825e-26,2.1401377749818042e-26
9,me2_106_7m,7mo,random,6.432926815506372e-26,2.0079905951233745e-26,8.749436840216585e-27
10,me2_216_7m,7mo,random,6.910591677726318e-26,4.7768683569105805e-26,2.119487525315653e-26
11,me2_114_7m,7mo,random,3.284365111051938e-26,2.967090674024584e-26,2.3104753191110375e-26
12,me2_211_7m,7mo,random,1.8050130255885615e-25,9.446665547116696e-26,4.7826316448089045e-26
13,me2_116_7m,7mo,random,9.89270509535069e-26,4.550634124852082e-26,7.362944950381231e-26
14,me2_113_7m,7mo,random,2.668759397999359e-25,1.1456578721135456e-25,4.807816311259536e-26
15,me2_206_7m,7mo,random,1.1185433093849781e-25,6.32149043814188e-26,2.8007334816023e-26
16,me2_127_7m,7mo,random,8.901432560361312e-26,1.259181722888675e-25,1.0291519647860114e-25
17,me2_218_7m,7mo,random,1.0528857700579046e-25,5.782735961996034e-26,2.3639596213176936e-26
18,me2_204_7m,7mo,random,1.3954786333347927e-25,4.002696968453919e-26,2.6866125545788573e-26
19,me2_101_7m,7mo,random,7.428340778242901e-26,6.140274853519303e-26,1.4494569804203604e-26
20,me2_111_7m,7mo,random,1.907787120464199e-25,1.3340467676101052e-25,3.0235584253459906e-26
21,me2_221_7m,7mo,random,9.258922775635625e-26,3.8479329188420126e-26,4.798076840084978e-26
22,me2_128_7m,7mo,random,4.492219639037243e-26,2.9162925087233135e-26,1.3217848346661448e-26
23,me2_209_7m,7mo,random,1.4666022560833118e-25,4.491116301723997e-26,2.5752454221848439e-26
24,me2_212_7m,7mo,random,5.0882003201277365e-26,1.5683290303224e-26,1.3744587632469498e-26
25,me2_117_7m,7mo,random,4.898168160196173e-26,5.0903548214791144e-26,1.8888960388607044e-26
26,me2_112_11m,7mo,duple,4.377170361305285e-26,4.91012095290789e-26,3.447678804131649e-26
27,me2_129_11m,7mo,duple,1.0220853852263068e-25,2.8915959083117937e-25,6.495396603670395e-25
28,me2_315_11m,7mo,duple,1.4189223310892095e-25,6.483293034071827e-26,1.9058731165941818e-25
29,me2_325_11m,7mo,duple,3.9699291157820274e-26,5.648504637380936e-26,1.206073291409439e-25
30,me2_301_11m,7mo,duple,8.784453789955758e-26,8.294277051203143e-26,5.35592213083916e-25
31,me2_304_11m,7mo,duple,6.323790529813357e-26,1.0149409089230376e-25,1.7905257827310517e-25
32,me2_122_11m,7mo,duple,5.107691829698602e-26,4.137063260111064e-25,5.354067743035501e-25
33,me2_323_11m,7mo,duple,2.896228415252138e-26,4.949677325750941e-26,1.9193752953477462e-25
