Block Number,Target Wav,Background Wav,Condition,Overall trial number (for sorting),Total Number in Block,Conditions by Block,
1,PNM055_37-02,PNM079_38-04,BA,1,Block 1: 38,TA in Block 1:,10
1,PNM055_21-03,PNM079_22-10,BA,2,,BA in Block 1:,13
1,PNM055_33-06,PNM079_34-06,BA,3,,CT in Block 1:,15
1,PNM055_47-07,PNM079_48-07,CT,4,,,
1,PNM055_57-06,PNM079_58-01,CT,5,,,
1,PNM055_11-02,PNM079_12-05,TA,6,,,
1,PNM055_55-09,PNM079_56-01,CT,7,,,
1,PNM055_53-05,PNM079_54-09,CT,8,,,
1,PNM055_49-10,PNM079_50-02,CT,9,,,
1,PNM055_27-02,PNM079_28-09,BA,10,,,
1,PNM055_05-03,PNM079_06-09,TA,11,,,
1,PNM055_35-04,PNM079_36-09,BA,12,,,
1,PNM055_47-03,PNM079_48-03,CT,13,,,
1,PNM055_39-06,PNM079_40-04,BA,14,,,
1,PNM055_49-03,PNM079_50-08,CT,15,,,
1,PNM055_41-10,PNM079_42-01,CT,16,,,
1,PNM055_09-05,PNM079_10-07,TA,17,,,
1,PNM055_55-10,PNM079_56-09,CT,18,,,
1,PNM055_25-09,PNM079_26-03,BA,19,,,
1,PNM055_23-03,PNM079_24-10,BA,20,,,
1,PNM055_19-04,PNM079_20-05,TA,21,,,
1,PNM055_49-09,PNM079_50-03,CT,22,,,
1,PNM055_11-03,PNM079_12-07,TA,23,,,
1,PNM055_37-06,PNM079_38-03,BA,24,,,
1,PNM055_45-07,PNM079_46-09,CT,25,,,
1,PNM055_29-02,PNM079_30-05,BA,26,,,
1,PNM055_43-03,PNM079_44-01,CT,27,,,
1,PNM055_37-05,PNM079_38-10,BA,28,,,
1,PNM055_01-10,PNM079_02-07,TA,29,,,
1,PNM055_09-06,PNM079_10-10,TA,30,,,
1,PNM055_01-07,PNM079_02-06,TA,31,,,
1,PNM055_25-01,PNM079_26-02,BA,32,,,
1,PNM055_15-09,PNM079_16-04,TA,33,,,
1,PNM055_25-05,PNM079_26-06,BA,34,,,
1,PNM055_07-08,PNM079_08-08,TA,35,,,
1,PNM055_49-02,PNM079_50-10,CT,36,,,
1,PNM055_61-01,PNM079_62-05,CT,37,,,
1,PNM055_45-06,PNM079_46-10,CT,38,,,
2,PNM055_25-03,PNM079_26-01,BA,39,Block 2: 38,TA in Block 2:,11
2,PNM055_23-02,PNM079_24-03,BA,40,,BA in Block 2:,14
2,PNM055_15-04,PNM079_16-01,TA,41,,CT in Block 2:,13
2,PNM055_47-05,PNM079_48-01,CT,42,,,
2,PNM055_19-08,PNM079_20-06,TA,43,,,
2,PNM055_25-02,PNM079_26-04,BA,44,,,
2,PNM055_39-10,PNM079_40-09,BA,45,,,
2,PNM055_55-03,PNM079_56-07,CT,46,,,
2,PNM055_59-02,PNM079_60-08,CT,47,,,
2,PNM055_43-04,PNM079_44-05,CT,48,,,
2,PNM055_37-04,PNM079_38-09,BA,49,,,
2,PNM055_19-02,PNM079_20-09,TA,50,,,
2,PNM055_23-09,PNM079_24-01,BA,51,,,
2,PNM055_51-04,PNM079_52-06,CT,52,,,
2,PNM055_09-02,PNM079_10-08,TA,53,,,
2,PNM055_31-06,PNM079_32-02,BA,54,,,
2,PNM055_45-04,PNM079_46-05,CT,55,,,
2,PNM055_09-10,PNM079_10-05,TA,56,,,
2,PNM055_15-06,PNM079_16-10,TA,57,,,
2,PNM055_39-04,PNM079_40-02,BA,58,,,
2,PNM055_27-05,PNM079_28-03,BA,59,,,
2,PNM055_49-08,PNM079_50-05,CT,60,,,
2,PNM055_57-09,PNM079_58-09,CT,61,,,
2,PNM055_35-03,PNM079_36-05,BA,62,,,
2,PNM055_55-05,PNM079_56-06,CT,63,,,
2,PNM055_01-04,PNM079_02-04,TA,64,,,
2,PNM055_57-10,PNM079_58-04,CT,65,,,
2,PNM055_05-01,PNM079_06-03,TA,66,,,
2,PNM055_35-01,PNM079_36-08,BA,67,,,
2,PNM055_61-02,PNM079_62-03,CT,68,,,
2,PNM055_31-01,PNM079_32-03,BA,69,,,
2,PNM055_51-01,PNM079_52-07,CT,70,,,
2,PNM055_55-07,PNM079_56-08,CT,71,,,
2,PNM055_05-09,PNM079_06-01,TA,72,,,
2,PNM055_21-07,PNM079_22-06,BA,73,,,
2,PNM055_15-03,PNM079_16-03,TA,74,,,
2,PNM055_13-08,PNM079_14-06,TA,75,,,
2,PNM055_31-08,PNM079_32-01,BA,76,,,
3,PNM055_25-04,PNM079_26-09,BA,77,Block 3: 38,TA in Block 3:,15
3,PNM055_05-07,PNM079_06-06,TA,78,,BA in Block 3:,10
3,PNM055_49-01,PNM079_50-04,CT,79,,CT in Block 3:,13
3,PNM055_41-05,PNM079_42-07,CT,80,,,
3,PNM055_27-08,PNM079_28-01,BA,81,,,
3,PNM055_47-02,PNM079_48-05,CT,82,,,
3,PNM055_03-05,PNM079_04-05,TA,83,,,
3,PNM055_37-08,PNM079_38-07,BA,84,,,
3,PNM055_09-09,PNM079_10-09,TA,85,,,
3,PNM055_53-10,PNM079_54-03,CT,86,,,
3,PNM055_51-02,PNM079_52-01,CT,87,,,
3,PNM055_47-04,PNM079_48-08,CT,88,,,
3,PNM055_49-04,PNM079_50-06,CT,89,,,
3,PNM055_03-10,PNM079_04-02,TA,90,,,
3,PNM055_59-03,PNM079_60-06,CT,91,,,
3,PNM055_17-01,PNM079_18-03,TA,92,,,
3,PNM055_25-10,PNM079_26-10,BA,93,,,
3,PNM055_15-01,PNM079_16-08,TA,94,,,
3,PNM055_27-03,PNM079_28-04,BA,95,,,
3,PNM055_35-07,PNM079_36-04,BA,96,,,
3,PNM055_41-09,PNM079_42-04,CT,97,,,
3,PNM055_61-03,PNM079_62-02,CT,98,,,
3,PNM055_15-07,PNM079_16-05,TA,99,,,
3,PNM055_19-09,PNM079_20-01,TA,100,,,
3,PNM055_59-05,PNM079_60-02,CT,101,,,
3,PNM055_15-10,PNM079_16-02,TA,102,,,
3,PNM055_03-01,PNM079_04-08,TA,103,,,
3,PNM055_11-09,PNM079_12-09,TA,104,,,
3,PNM055_05-08,PNM079_06-07,TA,105,,,
3,PNM055_27-10,PNM079_28-06,BA,106,,,
3,PNM055_57-05,PNM079_58-05,CT,107,,,
3,PNM055_51-03,PNM079_52-05,CT,108,,,
3,PNM055_19-06,PNM079_20-03,TA,109,,,
3,PNM055_39-03,PNM079_40-01,BA,110,,,
3,PNM055_33-09,PNM079_34-04,BA,111,,,
3,PNM055_01-08,PNM079_02-02,TA,112,,,
3,PNM055_15-05,PNM079_16-06,TA,113,,,
3,PNM055_33-04,PNM079_34-03,BA,114,,,
4,PNM055_33-03,PNM079_34-01,BA,115,Block 4: 38,TA in Block 4:,12
4,PNM055_13-03,PNM079_14-05,TA,116,,BA in Block 4:,12
4,PNM055_39-08,PNM079_40-05,BA,117,,CT in Block 4:,14
4,PNM055_55-02,PNM079_56-03,CT,118,,,
4,PNM055_29-07,PNM079_30-02,BA,119,,,
4,PNM055_35-08,PNM079_36-03,BA,120,,,
4,PNM055_27-06,PNM079_28-10,BA,121,,,
4,PNM055_35-10,PNM079_36-02,BA,122,,,
4,PNM055_01-09,PNM079_02-09,TA,123,,,
4,PNM055_59-06,PNM079_60-01,CT,124,,,
4,PNM055_35-02,PNM079_36-10,BA,125,,,
4,PNM055_47-10,PNM079_48-06,CT,126,,,
4,PNM055_03-04,PNM079_04-04,TA,127,,,
4,PNM055_11-10,PNM079_12-03,TA,128,,,
4,PNM055_19-01,PNM079_20-07,TA,129,,,
4,PNM055_11-07,PNM079_12-08,TA,130,,,
4,PNM055_45-05,PNM079_46-06,CT,131,,,
4,PNM055_01-01,PNM079_02-10,TA,132,,,
4,PNM055_21-09,PNM079_22-02,BA,133,,,
4,PNM055_55-04,PNM079_56-10,CT,134,,,
4,PNM055_59-04,PNM079_60-09,CT,135,,,
4,PNM055_45-01,PNM079_46-08,CT,136,,,
4,PNM055_51-05,PNM079_52-02,CT,137,,,
4,PNM055_29-05,PNM079_30-08,BA,138,,,
4,PNM055_25-06,PNM079_26-07,BA,139,,,
4,PNM055_49-06,PNM079_50-01,CT,140,,,
4,PNM055_51-08,PNM079_52-10,CT,141,,,
4,PNM055_33-07,PNM079_34-10,BA,142,,,
4,PNM055_07-06,PNM079_08-09,TA,143,,,
4,PNM055_53-07,PNM079_54-05,CT,144,,,
4,PNM055_57-07,PNM079_58-02,CT,145,,,
4,PNM055_61-04,PNM079_62-04,CT,146,,,
4,PNM055_13-06,PNM079_14-01,TA,147,,,
4,PNM055_39-09,PNM079_40-08,BA,148,,,
4,PNM055_07-02,PNM079_08-02,TA,149,,,
4,PNM055_03-03,PNM079_04-06,TA,150,,,
4,PNM055_13-07,PNM079_14-09,TA,151,,,
4,PNM055_57-04,PNM079_58-03,CT,152,,,
5,PNM055_43-08,PNM079_44-03,CT,153,Block 5: 37,TA in Block 5:,13
5,PNM055_35-05,PNM079_36-07,BA,154,,BA in Block 5:,10
5,PNM055_31-09,PNM079_32-04,BA,155,,CT in Block 5:,14
5,PNM055_45-09,PNM079_46-03,CT,156,,,
5,PNM055_17-09,PNM079_18-02,TA,157,,,
5,PNM055_07-10,PNM079_08-10,TA,158,,,
5,PNM055_15-08,PNM079_16-09,TA,159,,,
5,PNM055_59-07,PNM079_60-07,CT,160,,,
5,PNM055_51-06,PNM079_52-04,CT,161,,,
5,PNM055_47-01,PNM079_48-02,CT,162,,,
5,PNM055_29-08,PNM079_30-07,BA,163,,,
5,PNM055_41-02,PNM079_42-03,BA,164,,,
5,PNM055_09-08,PNM079_10-03,TA,165,,,
5,PNM055_21-04,PNM079_22-01,BA,166,,,
5,PNM055_41-04,PNM079_42-05,CT,167,,,
5,PNM055_13-10,PNM079_14-03,TA,168,,,
5,PNM055_31-10,PNM079_32-09,BA,169,,,
5,PNM055_53-09,PNM079_54-07,CT,170,,,
5,PNM055_03-07,PNM079_04-03,TA,171,,,
5,PNM055_03-09,PNM079_04-10,TA,172,,,
5,PNM055_53-02,PNM079_54-01,CT,173,,,
5,PNM055_09-07,PNM079_10-06,TA,174,,,
5,PNM055_45-10,PNM079_46-01,CT,175,,,
5,PNM055_03-06,PNM079_04-07,TA,176,,,
5,PNM055_25-07,PNM079_26-08,BA,177,,,
5,PNM055_43-01,PNM079_44-06,CT,178,,,
5,PNM055_55-06,PNM079_56-02,CT,179,,,
5,PNM055_59-01,PNM079_60-10,CT,180,,,
5,PNM055_07-03,PNM079_08-01,TA,181,,,
5,PNM055_29-01,PNM079_30-09,BA,182,,,
5,PNM055_27-09,PNM079_28-07,BA,183,,,
5,PNM055_23-04,PNM079_24-04,BA,184,,,
5,PNM055_11-01,PNM079_12-01,TA,185,,,
5,PNM055_13-01,PNM079_14-04,TA,186,,,
5,PNM055_57-08,PNM079_58-06,CT,187,,,
5,PNM055_49-05,PNM079_50-09,CT,188,,,
5,PNM055_11-05,PNM079_12-10,TA,189,,,
6,PNM055_05-05,PNM079_06-02,TA,190,Block 6: 37,TA in Block 6:,13
6,PNM055_35-09,PNM079_36-01,BA,191,,BA in Block 6:,12
6,PNM055_21-05,PNM079_22-08,BA,192,,CT in Block 6:,12
6,PNM055_01-03,PNM079_02-05,TA,193,,,
6,PNM055_27-07,PNM079_28-02,BA,194,,,
6,PNM055_53-06,PNM079_54-06,CT,195,,,
6,PNM055_57-03,PNM079_58-10,CT,196,,,
6,PNM055_41-03,PNM079_42-06,CT,197,,,
6,PNM055_47-08,PNM079_48-04,CT,198,,,
6,PNM055_43-09,PNM079_44-08,CT,199,,,
6,PNM055_47-09,PNM079_48-09,CT,200,,,
6,PNM055_29-04,PNM079_30-10,BA,201,,,
6,PNM055_19-05,PNM079_20-04,TA,202,,,
6,PNM055_33-02,PNM079_34-02,BA,203,,,
6,PNM055_17-05,PNM079_18-01,TA,204,,,
6,PNM055_17-06,PNM079_18-06,TA,205,,,
6,PNM055_53-03,PNM079_54-08,CT,206,,,
6,PNM055_13-05,PNM079_14-10,TA,207,,,
6,PNM055_17-07,PNM079_18-05,TA,208,,,
6,PNM055_31-02,PNM079_32-10,BA,209,,,
6,PNM055_59-09,PNM079_60-04,CT,210,,,
6,PNM055_49-07,PNM079_50-07,CT,211,,,
